Home Player Win,Home Player Country,Away Player Country,Date,Difference of Age:  Home Player,Difference Height: Home Player,Difference Weight: Home Player,Home Player Age,Home Player Height (Inches),Home Player Weight (Lbs),Away Player Age,Away Player Height (Inches),Away Player Weight (Lbs)
0,NNN,NNN,43025,18,11,99,38,87,290,20,76,191
0,NNN,NNN,43025,-18,-11,-99,20,76,191,38,87,290
0,USA,Dominican Republic,43025,-2,0,6,30,82,251,32,82,245
0,Russia,Switzerland,43025,10,1,30,34,83,270,24,82,240
0,USA,USA,43026,-7,0,14,25,83,279,32,83,265
1,USA,Russia,43026,-10,-2,-25,22,83,250,32,85,275
0,Montenegro,USA,43026,-2,-1,-5,27,84,260,29,85,265
1,Poland,Cameroon,43026,10,-1,-10,34,83,240,24,84,250
1,Dominican Republic,South Sudan,43026,11,-3,24,32,82,245,21,85,221
1,Spain,USA,43026,8,3,2,33,85,255,25,82,253
0,USA,USA,43026,-3,-4,-20,26,80,225,29,84,245
1,France,USA,43026,-7,6,-1,26,86,245,33,80,246
0,Spain,USA,43026,16,0,2,38,84,250,22,84,248
0,USA,Bosnia and Herzegovina,43026,12,1,-35,36,85,240,24,84,275
1,USA,Switzerland,43026,1,2,0,25,84,240,24,82,240
0,Lithuania,USA,43027,-4,0,-10,26,84,265,30,84,275
0,New Zealand,Latvia,43027,2,-3,25,25,84,265,23,87,240
0,USA,USA,43027,0,1,5,30,84,270,30,83,265
1,USA,USA,43028,3,-1,20,32,83,265,29,84,245
0,Lithuania,Bosnia and Herzegovina,43028,-2,-1,-35,22,83,240,24,84,275
1,Cameroon,Dominican Republic,43028,-8,2,5,24,84,250,32,82,245
0,Poland,USA,43028,9,0,-39,34,83,240,25,83,279
0,South Sudan,USA,43028,-9,3,-30,21,85,221,30,82,251
1,Russia,Montenegro,43028,5,1,15,32,85,275,27,84,260
0,USA,France,43028,-4,-2,3,22,84,248,26,86,245
0,USA,USA,43028,-1,-1,-20,24,83,220,25,84,240
1,USA,Russia,43028,-9,-1,-17,25,82,253,34,83,270
0,USA,USA,43028,6,1,-30,36,85,240,30,84,270
0,Lithuania,USA,43029,-5,3,25,26,84,265,31,81,240
0,USA,Montenegro,43029,3,-2,-9,30,82,251,27,84,260
0,USA,Lithuania,43029,2,-3,-5,24,80,235,22,83,240
0,Latvia,USA,43029,-2,4,-39,23,87,240,25,83,279
1,USA,Spain,43029,-8,0,25,30,84,275,38,84,250
0,Switzerland,USA,43029,-2,2,15,24,82,240,26,80,225
1,Spain,Russia,43029,-1,2,-15,33,85,255,34,83,270
1,South Sudan,Bosnia and Herzegovina,43029,-3,1,-54,21,85,221,24,84,275
0,USA,USA,43029,8,-4,6,33,80,246,25,84,240
1,France,New Zealand,43029,1,2,-20,26,86,245,25,84,265
1,USA,USA,43029,-6,-2,25,30,83,265,36,85,240
0,Russia,USA,43030,3,1,30,32,85,275,29,84,245
1,New Zealand,USA,43030,3,0,17,25,84,265,22,84,248
0,USA,Cameroon,43031,1,-1,29,25,83,279,24,84,250
0,USA,USA,43031,-5,-4,-10,24,80,235,29,84,245
0,Switzerland,Spain,43031,-9,-3,-15,24,82,240,33,85,255
0,USA,Russia,43031,-8,-3,-45,26,80,225,34,83,270
1,Spain,Brazil,43031,12,0,30,38,84,250,26,84,220
0,USA,Poland,43031,-1,-3,6,33,80,246,34,83,240
1,USA,USA,43031,11,1,0,36,85,240,25,84,240
0,Canada,USA,43032,-3,-2,-37,27,82,238,30,84,275
0,Montenegro,Russia,43032,-5,-1,-15,27,84,260,32,85,275
1,Dominican Republic,Latvia,43032,9,-5,5,32,82,245,23,87,240
1,USA,Lithuania,43032,0,1,8,22,84,248,22,83,240
0,Bosnia and Herzegovina,USA,43032,-1,2,22,24,84,275,25,82,253
1,USA,France,43032,4,-3,20,30,83,265,26,86,245
1,USA,USA,43033,-1,3,19,32,83,265,33,80,246
0,USA,USA,43033,3,-1,31,25,83,279,22,84,248
1,Cameroon,Switzerland,43033,0,2,10,24,84,250,24,82,240
0,Russia,Canada,43033,5,3,37,32,85,275,27,82,238
0,USA,Spain,43033,-17,-3,5,21,81,255,38,84,250
1,New Zealand,Lithuania,43033,3,1,25,25,84,265,22,83,240
0,USA,Spain,43033,-9,-2,-35,24,83,220,33,85,255
1,USA,France,43033,10,-1,-5,36,85,240,26,86,245
0,Russia,Democratic Republic of Congo,43033,5,1,35,34,83,270,29,82,235
1,USA,Poland,43033,-4,1,30,30,84,270,34,83,240
0,USA,USA,43034,1,0,30,30,84,275,29,84,245
0,Spain,USA,43034,9,2,35,33,85,255,24,83,220
0,South Sudan,Dominican Republic,43034,-11,3,-24,21,85,221,32,82,245
1,Bosnia and Herzegovina,USA,43034,-6,1,10,24,84,275,30,83,265
0,USA,USA,43034,-3,1,-30,25,84,240,28,83,270
1,USA,Switzerland,43035,8,1,25,32,83,265,24,82,240
0,Montenegro,Spain,43035,-11,0,10,27,84,260,38,84,250
1,USA,USA,43035,-4,4,-1,29,84,245,33,80,246
1,Latvia,Russia,43035,-9,2,-35,23,87,240,32,85,275
0,USA,New Zealand,43035,-3,0,-17,22,84,248,25,84,265
1,Russia,Poland,43035,0,0,30,34,83,270,34,83,240
1,USA,Democratic Republic of Congo,43035,1,2,35,30,84,270,29,82,235
1,USA,Canada,43036,-2,0,15,25,82,253,27,82,238
1,USA,Dominican Republic,43036,-11,-1,10,21,81,255,32,82,245
0,USA,New Zealand,43036,5,0,10,30,84,275,25,84,265
1,Spain,Switzerland,43036,9,3,15,33,85,255,24,82,240
0,USA,Cameroon,43036,0,-1,-30,24,83,220,24,84,250
0,France,USA,43036,-4,2,-25,26,86,245,30,84,270
0,Bosnia and Herzegovina,USA,43036,-12,-1,35,24,84,275,36,85,240
1,USA,USA,43036,5,0,-14,30,83,265,25,83,279
1,USA,South Sudan,43037,8,-1,24,29,84,245,21,85,221
0,Lithuania,Spain,43037,-16,-1,-10,22,83,240,38,84,250
1,Russia,USA,43037,-1,5,29,32,85,275,33,80,246
1,USA,Montenegro,43037,5,-1,5,32,83,265,27,84,260
0,USA,Poland,43037,-9,1,0,25,84,240,34,83,240
0,Canada,Latvia,43037,4,-5,-2,27,82,238,23,87,240
0,Russia,USA,43037,9,0,-9,34,83,270,25,83,279
0,Dominican Republic,Spain,43038,-6,-2,-5,32,82,245,38,84,250
0,USA,USA,43038,-1,-3,7,21,81,255,22,84,248
1,Latvia,USA,43038,-10,7,-6,23,87,240,33,80,246
0,Switzerland,Cameroon,43038,0,-2,-10,24,82,240,24,84,250
0,Spain,USA,43038,1,2,-10,33,85,255,32,83,265
1,USA,Montenegro,43038,-2,-2,-7,25,82,253,27,84,260
1,France,USA,43038,2,3,25,26,86,245,24,83,220
1,Bosnia and Herzegovina,Brazil,43038,-2,0,55,24,84,275,26,84,220
1,USA,Russia,43038,-4,0,-5,30,83,265,34,83,270
0,Lithuania,USA,43039,-3,-1,0,22,83,240,25,84,240
1,South Sudan,New Zealand,43039,-4,1,-44,21,85,221,25,84,265
0,USA,USA,43039,5,1,-9,30,84,270,25,83,279
0,USA,USA,43040,5,0,46,32,83,265,27,83,219
1,Canada,Lithuania,43040,5,-1,-2,27,82,238,22,83,240
0,Cameroon,USA,43040,-5,0,5,24,84,250,29,84,245
0,Poland,USA,43040,-2,-2,0,34,83,240,36,85,240
1,Dominican Republic,USA,43040,7,-2,5,32,82,245,25,84,240
1,USA,USA,43040,-1,1,-10,29,85,265,30,84,275
1,Latvia,Switzerland,43040,-1,5,0,23,87,240,24,82,240
0,Spain,Montenegro,43040,6,1,-5,33,85,255,27,84,260
0,USA,USA,43040,3,-2,5,25,82,253,22,84,248
0,USA,Lithuania,43040,7,-4,-19,33,80,246,26,84,265
1,France,Bosnia and Herzegovina,43040,2,2,-30,26,86,245,24,84,275
1,USA,USA,43040,4,3,40,30,83,265,26,80,225
